Fecha,Último,ANO,MES,DIA,dateInt,Date
03.04.2022,16.0357,2022,04,03,20220403,2022-04-03
27.03.2022,16.2286,2022,03,27,20220327,2022-03-27
20.03.2022,16.2842,2022,03,20,20220320,2022-03-20
13.03.2022,16.3398,2022,03,13,20220313,2022-03-13
06.03.2022,16.0952,2022,03,06,20220306,2022-03-06
27.02.2022,15.498,2022,02,27,20220227,2022-02-27
20.02.2022,15.5705,2022,02,20,20220220,2022-02-20
13.02.2022,15.4448,2022,02,13,20220213,2022-02-13
06.02.2022,15.3412,2022,02,06,20220206,2022-02-06
30.01.2022,15.5203,2022,01,30,20220130,2022-01-30
23.01.2022,15.0995,2022,01,23,20220123,2022-01-23
16.01.2022,15.2315,2022,01,16,20220116,2022-01-16
09.01.2022,15.4333,2022,01,09,20220109,2022-01-09
02.01.2022,15.7561,2022,01,02,20220102,2022-01-02
26.12.2021,15.1377,2021,12,26,20211226,2021-12-26
19.12.2021,12.0503,2021,12,19,20211219,2021-12-19
12.12.2021,18.4455,2021,12,12,20211212,2021-12-12
05.12.2021,15.6951,2021,12,05,20211205,2021-12-05
28.11.2021,15.4988,2021,11,28,20211128,2021-11-28
21.11.2021,14.0585,2021,11,21,20211121,2021-11-21
14.11.2021,12.6776,2021,11,14,20211114,2021-11-14
07.11.2021,11.4215,2021,11,07,20211107,2021-11-07
31.10.2021,11.1891,2021,10,31,20211031,2021-10-31
24.10.2021,11.102,2021,10,24,20211024,2021-10-24
17.10.2021,11.1528,2021,10,17,20211017,2021-10-17
