Interior Equipment,Count
Armrest (Front),4461
Start/Stop,2701
Cruise Control/Limiting,2420
Electronic Air Conditioning,2271
Armrest (Rear),1956
Keyless Start,1744
Cruise Control/Limit,1642
Keyless Entry,942
Navigation,766
Heated Front Seats,704
Air Conditioning For Rear Passengers,618
Electric Driver'S Seat,509
Driver Assistance Systems,361
Electric Passenger Seat,302
Sound System,283
Automatic Opening Tailgate,234
Memory Driver Seat,217
Blind Spot Warning System,177
Heated Rear Seats,104
Vacuum Door,32
